kupu,k u - p u
kura,k u - ɾ a
Mai,m ai
Maori,m ao - ɾ i
Mauri,m au - ɾ i
Maunga,m au - ŋ a
Mahuta,m a - h u - t a
Makaurau,m a - k au - ɾ au
Maniapoto,m a - n i - a - p o - t o
Manu,m a - n u
Marae,m a - ɾ ae
Mata,m a - t a
Matapihi,m a - t a - p i - h i
Mangu,m a - ŋ u
Mā,m a:
Māori,m a:o - ɾ i
Māui,m a:u - i
Mātao,m a: - t ao
Mātau,m a: - t au
Mātauranga,m a: - t au - ɾ a - ŋ a
Mea,m e - a
Mei,m ei
Mehemea,m e - h e - m e - a
Mihinare,m i - h i - n a - ɾ e
Miro,m i - ɾ o
Moa,m o - a
Moana,m o - a - n a
Moutere,m ou - t e - ɾ e
Mohio,m o - h i - o
Moni,m o - n i
Motu,m o - t u
Muri,m u - ɾ i
maero,m ae - ɾ o
mai,m ai
maori,m ao - ɾ i
mau,m au
mauri,m au - ɾ i
mauria,m au - ɾ i - a
maunga,m au - ŋ a
maha,m a - h a
mahi,m a - h i
maku,m a - k u
mamao,m a - m ao
mana,m a - n a
manaakitia,m a - n a - a - k i - t i - a
manawa,m a - n a - w a
mano,m a - n o
manu,m a - n u
manuhiri,m a - n u - h i - ɾ i
marae,m a - ɾ ae
marama,m a - ɾ a - m a
maru,m a - ɾ u
mata,m a - t a
matau,m a - t au
mataku,m a - t a - k u
matatau,m a - t a - t au
matenga,m a - t e - ŋ a
matou,m a - t ou
matua,m a - t u - a
mā,m a:
māori,m a:o - ɾ i
māu,m a:u
māharahara,m a: - h a - ɾ a - h a - ɾ a
māhunga,m a: - h u - ŋ a
māna,m a: - n a
mārama,m a: - ɾ a - m a
māramatanga,m a: - ɾ a - m a - t a - ŋ a
mātau,m a: - t au
mātou,m a: - t ou
mātua,m a: - t u - a
mea,m e - a
mema,m e - m a
mena,m e - n a
mēnā,m e: - n a:
mihi,m i - h i
mihinare,m i - h i - n a - ɾ e
mita,m i - t a
mīharo,m i: - h a - ɾ o
moana,m o - a - n a
mou,m ou
moumou,m ou - m ou
moutere,m ou - t e - ɾ e
mohio,m o - h i - o
mohoao,m o - h o - ao
mokemoke,m o - k e - m o - k e
moko,m o - k o
momo,m o - m o
motu,m o - t u
motuhake,m o - t u - h a - k e
mō,m o:
mōhio,m o: - h i - o
mōhiotia,m o: - h i - o - t i - a
mōna,m o: - n a
mua,m u - a
muri,m u - ɾ i
murua,m u - ɾ u - a
mutu,m u - t u
mutunga,m u - t u - ŋ a
Nau,n au
NĀNA,n a: - n a
Nā,n a:
Nāna,n a: - n a
Nekehia,n e - k e - h i - a
Nō,n o:
Nui,n u - i
Nuku,n u - k u
naianei,n ai - a - n ei
nana,n a - n a
nanakia,n a - n a - k i - a
nā,n a:
nāianei,n a:i - a - n ei
nāku,n a: - k u
nāna,n a: - n a
nei,n ei
nehe,n e - h e
nehua,n e - h u - a
neke,n e - k e
nekehia,n e - k e - h i - a
noa,n o - a
noho,n o - h o
nohoanga,n o - h o - a - ŋ a
nō,n o:
nui,n u - i
nuinga,n u - i - ŋ a
nuku,n u - k u
nunui,n u - n u - i
Paea,p ae - a
Pai,p ai
Paipera,p ai - p e - ɾ a
Paoa,p ao - a
Paora,p ao - ɾ a
Pakanga,p a - k a - ŋ a
Pakeha,p a - k e - h a
Panui,p a - n u - i
Papatūānuku,p a - p a - t u: - a: - n u - k u
Parau,p a - ɾ au
